time,bytes,rate
2.132001000,560,262
3.154250000,886752,867452
4.165428000,282800,279673
5.197220000,770680,746933
6.204790000,434392,431128
7.248821000,697992,668554
8.279610000,352480,341951
9.288110000,251152,249035
10.297717000,701376,694701
11.318077000,733776,719134
12.360876000,334584,320851
13.391516000,721592,700139
14.432826000,438312,420923
15.475167000,280392,269002
16.485088000,752280,744889
17.515285000,302104,293248
18.568167000,558832,530764
19.599510000,880872,854101
20.631436000,246632,239001
21.683501000,701624,666901
22.733133000,313944,299099
23.755289000,664496,650092
24.764892000,251624,249230
25.807473000,155528,149175
26.839791000,1390520,1346988
27.848928000,1015704,1006507
28.868933000,1222848,1198864
29.910677000,826816,793684
30.924163000,1059024,1044932
31.962775000,730232,703084
32.973813000,746728,738575
33.991406000,1130032,1110495
34.991498000,672384,672322
36.033097000,976768,937758
37.092228000,594144,560973
38.136853000,767904,735100
39.157373000,1050000,1028887
40.160410000,733984,731761
41.199517000,954824,918889
42.240808000,690248,662877
43.283615000,706904,677885
44.314250000,1070848,1039017
45.323471000,612728,607129
46.332388000,791480,784484
47.364751000,631360,611567
48.364944000,267960,267908
49.413231000,809712,772414
50.448149000,401264,387725
51.495097000,916576,875474
52.541203000,548096,523939
53.563820000,557544,545212
54.637036000,851440,793353
55.648086000,581736,575378
56.716503000,825224,772380
57.719634000,727536,725265
58.768416000,944896,900946
59.816975000,1017568,970444
60.852151000,540432,522067
61.914693000,893640,841039
62.929270000,541168,533392
63.959882000,883376,857137
65.009748000,562312,535603
66.056454000,559560,534591
67.121360000,1150248,1080140
68.127712000,612232,608367
69.169234000,792408,760817
70.188782000,514760,504890
71.199508000,1022080,1011233
72.231553000,580240,562223
73.240782000,807872,800484
74.271458000,524248,508644
75.286385000,566168,557841
76.317432000,1023624,992800
77.365599000,525344,501202
78.396776000,774736,751312
79.427883000,529072,513110
80.435628000,490552,486781
81.478444000,689136,660841
82.488848000,925784,916251
83.519361000,821256,796939
84.551631000,506152,490329
85.592769000,468448,449938
86.645525000,864248,820938
87.676316000,513024,497699
88.686551000,1105600,1094398
89.721223000,464168,448613
90.736842000,364624,359016
91.756888000,755472,740625
92.757203000,435352,435214
93.789342000,684456,663143
94.805577000,513720,505512
95.836969000,243936,236511
96.845855000,873416,865723
97.877740000,451032,437095
98.908977000,678344,657796
99.919683000,359552,355743
100.927806000,628784,623717
101.947953000,244776,239941
102.965539000,267424,262802
103.969108000,831856,828897
104.988219000,487520,478377
105.998061000,648248,641930
107.008924000,237408,234856
108.028773000,224880,220503
109.038296000,669896,663576
110.048867000,819168,810599
111.068857000,511088,501071
112.078103000,759584,752625
113.108868000,547928,531574
114.118232000,646960,640958
115.128792000,982384,972118
116.148577000,604328,592603
117.158180000,968968,959751
118.200037000,524928,503838
119.231261000,496336,481307
120.283695000,1134152,1077646
121.316069000,499960,484281
122.367629000,849624,807965
123.388768000,393920,385765
124.398602000,343816,340467
125.408045000,882136,873883
126.427788000,377120,369818
127.459701000,828704,803075
128.467577000,392992,389920
129.495944000,362368,352372
130.537343000,936208,898990
131.568816000,397944,385801
132.604121000,886232,856010
133.651967000,491528,469084
134.687198000,954976,922476
135.741530000,551440,523023
136.760226000,644376,632549
137.804407000,1045824,1001573
138.839040000,532088,514277
139.845401000,1163160,1155807
140.877166000,976024,945975
141.877907000,857872,857236
142.888826000,1043912,1032636
143.925178000,563936,544154
144.956806000,789064,764872
145.966012000,465320,461075
146.977587000,625976,618813
147.995383000,716744,704211
149.006177000,489248,484023
150.048900000,803800,770866
151.088050000,306608,295056
152.096833000,524760,520191
153.117307000,704456,690322
154.127525000,431952,427582
155.167937000,692376,665482
156.188848000,310664,304300
157.208283000,276160,270895
158.229117000,944424,925149
159.262282000,892808,864148
160.269835000,678328,673242
161.311314000,672896,646096
162.313483000,1118440,1116019
163.351234000,1040800,1002938
164.404326000,1240232,1177705
165.413193000,924768,916640
166.433634000,414904,406592
167.443640000,820624,812494
168.452846000,434800,430833
169.485466000,840448,813898
170.546626000,395784,372972
171.565661000,429752,421724
172.632309000,933304,874987
173.646982000,359144,353950
174.678448000,770712,747200
175.736018000,375168,354745
