time,bytes,rate
3.709301000,348.0,93
4.719218000,46636,46178
5.727787000,35350,35049
6.733327000,95823,95295
7.755657000,54975,53774
8.807797000,87255,82930
9.846381000,44119,42479
10.877013000,32837,31861
11.917929000,89959,86422
12.955659000,88706,85480
13.995753000,52678,50647
15.003774000,96121,95356
16.034087000,37831,36717
17.038149000,34969,34827
18.047666000,94070,93183
19.083739000,38888,37534
20.090642000,92829,92192
21.121133000,85860,83319
22.127743000,30676,30474
23.159704000,87838,85117
24.198245000,34103,32837
25.246257000,87992,83960
26.276521000,31617,30688
27.288610000,19178,18948
28.296021000,169850,168600
29.319695000,115237,112571
30.360943000,166716,160111
31.367223000,101416,100783
32.407691000,134402,129174
33.452630000,91206,87283
34.487744000,94928,91707
35.517283000,141254,137201
36.522522000,84048,83609
37.566419000,122096,116961
38.595935000,74268,72138
39.647799000,95988,91255
40.687741000,131250,126208
41.727720000,92786,89219
42.758360000,119829,116266
43.797158000,87113,83859
44.834248000,87863,84720
45.874144000,133429,128309
46.913552000,77550,74609
47.951795000,130214,125417
48.959748000,46486,46119
49.988796000,33886,32929
51.007769000,100811,98933
52.048367000,60066,57722
53.078079000,106508,103434
54.088411000,66711,66028
55.118191000,69334,67328
56.158111000,107136,103023
57.194901000,72555,69980
58.199976000,101801,101286
59.207812000,88892,88200
60.237188000,119383,115976
61.244132000,117154,116346
62.246455000,60601,60460
63.283778000,126632,122075
64.323729000,67889,65280
65.330723000,58522,58115
66.350317000,123419,121047
67.359721000,68723,68082
68.365495000,121324,120627
69.404866000,76464,73567
70.423171000,106700,104781
71.453193000,63013,61176
72.479015000,119945,116925
73.535131000,71709,67898
74.563603000,64108,62333
75.626503000,126704,119205
76.668271000,69909,67106
77.706990000,107500,103492
78.735415000,70468,68520
79.772138000,115370,111283
80.799419000,64308,62600
81.840743000,54581,52415
82.879649000,90829,87427
83.934155000,108022,102438
84.950379000,100082,98484
86.003732000,76134,72277
87.052182000,51900,49501
88.088406000,115782,111734
89.134152000,63939,61141
90.195172000,66589,62759
91.201929000,130260,129385
92.207757000,45525,45261
93.214756000,94181,93526
94.244230000,55100,53522
95.274178000,84659,82197
96.283055000,52159,51700
97.323661000,43717,42011
98.326266000,108985,108701
99.355717000,56452,54836
100.393157000,83594,80577
101.432929000,46498,44719
102.438462000,78893,78458
103.487782000,30885,29433
104.526675000,34732,33431
105.555704000,118611,115264
106.562523000,45203,44896
107.589304000,81277,79157
108.596801000,29722,29500
109.647710000,29635,28199
110.686361000,82464,79395
111.725041000,116405,112070
112.766345000,51069,49043
113.795689000,95571,92846
114.838565000,92723,88910
115.876909000,120652,116196
116.934228000,78476,74221
117.955675000,72511,70988
118.960680000,107586,107050
119.991755000,78968,76588
120.998965000,50682,50319
122.048338000,142180,135490
123.078234000,68093,66116
124.112447000,104314,100863
125.126406000,48545,47876
126.157902000,99445,96408
127.198397000,49467,47541
128.238404000,53399,51344
129.279035000,105560,101438
130.318365000,48490,46655
131.372594000,103569,98241
132.373406000,59357,59308
133.400828000,47504,46236
134.403734000,108380,108065
135.411633000,75958,75362
136.424691000,102090,100774
137.457966000,77745,75241
138.484812000,70317,68478
139.531915000,140429,134111
140.571431000,77624,74673
141.628914000,145015,137132
142.658446000,111170,107981
143.684781000,165476,161230
144.716255000,80581,78122
145.732106000,57040,56149
146.784848000,103574,98384
147.827855000,67951,65149
148.856329000,108832,105818
149.901418000,54377,52030
150.960722000,54116,51086
151.972950000,100346,99133
153.000597000,49766,48427
154.047261000,96538,92233
155.091875000,53436,51153
156.138290000,43756,41815
157.163220000,98772,96369
158.205392000,34670,33267
159.242324000,97655,94176
160.284210000,51658,49581
161.291918000,128437,127454
162.318359000,103410,100746
163.326363000,134566,133497
164.328652000,95927,95707
165.356940000,112436,109342
166.399996000,163556,156804
167.408299000,101632,100795
168.428719000,98002,96040
169.438728000,45585,45133
170.470345000,49338,47825
171.478179000,104779,103964
172.510452000,59989,58113
173.518153000,111405,110553
174.518378000,45094,45083
175.559783000,41529,39877
176.568502000,101755,100875
177.588984000,41255,40426
