"Interval start","All Packets","TCP Errors"
0,85,0
1,54,0
2,112,0
3,60,0
4,96,0
5,46,0
6,105,0
7,25,0
8,110,0
9,36,0
10,112,0
11,38,0
12,120,0
13,28,0
14,120,0
15,10,0
16,133,0
17,15,0
18,123,0
19,19,0
20,132,0
21,13,0
22,134,0
23,8,0
24,121,0
25,24,0
26,129,0
27,15,0
28,136,0
29,15,0
30,128,0
31,22,0
32,110,0
33,29,0
34,135,0
35,14,0
36,112,0
37,30,0
38,117,0
39,35,0
40,103,0
41,35,0
42,88,0
43,49,0
44,80,0
45,54,0
46,96,0
47,62,0
48,93,0
49,73,0
50,77,0
51,79,0
52,75,0
53,77,0
54,64,0
55,76,0
56,81,0
57,70,0
58,52,0
59,89,0
60,58,0
61,84,0
62,42,0
63,90,0
64,42,0
65,99,0
66,55,0
67,91,0
68,35,0
69,123,0
70,42,0
71,99,0
72,28,0
73,127,0
74,32,0
75,108,0
76,24,0
77,128,0
78,19,0
79,126,0
80,10,0
81,139,0
82,8,0
83,119,0
84,12,0
85,139,0
86,14,0
87,147,0
88,9,0
89,121,0
90,31,0
91,127,0
92,15,0
93,103,0
94,39,0
95,101,0
96,36,0
97,89,0
98,40,0
99,119,0
100,36,0
101,83,0
102,64,0
103,97,0
104,49,0
105,90,0
106,42,0
107,53,0
